nama_produk,harga,url_gambar,link_produk
"Fire Hose Canvas 1,5″ x 30 M Firefix",Rp751.450,https://fireshop.co.id/wp-content/uploads/2021/12/fire-hose-firefix-15-30.webp,https://fireshop.co.id/harga/selang-pemadam-kebakaran-canvas/
Fire Sprinkler Sidewall 68C VK102 Viking,Rp138.695,https://fireshop.co.id/wp-content/uploads/2021/12/Fire-Sprinkler-Sidewall.png,https://fireshop.co.id/harga/fire-sprinkler-viking/
Hooseki Fire Hydrant Box Indoor Type B,Rp2.069.358,https://fireshop.co.id/wp-content/uploads/2021/12/Hooseki_Hydrant_Box_Indoor_Type_B.webp,https://fireshop.co.id/harga/hydrant-box-type-b-hooseki/
,,https://fireshop.co.id/wp-content/uploads/2021/12/hydrant-valve-25-firefix-1.webp,https://fireshop.co.id/harga/landing-valve-2-5-inch-firefix/
,,https://fireshop.co.id/wp-content/uploads/2021/12/Jual-Hose-rack-hooseki-25-1.webp,https://fireshop.co.id/harga/hose-rack-2-5-hooseki/
,,https://fireshop.co.id/wp-content/uploads/2021/12/main-distribution-frame-50-pairs.webp,https://fireshop.co.id/harga/main-distribution-frame-50-pairs-hooseki/
,,https://fireshop.co.id/wp-content/uploads/2021/12/fire-hose-firefix-15-20.webp,https://fireshop.co.id/harga/selang-pemadam-kebakaran-1-5-inch/
,,https://fireshop.co.id/wp-content/uploads/2021/12/fire-hose-firefix-15-30.webp,https://fireshop.co.id/harga/selang-pemadam-kebakaran-canvas/
,,https://fireshop.co.id/wp-content/uploads/2021/12/Fire-Sprinkler-Sidewall.png,https://fireshop.co.id/harga/fire-sprinkler-viking/
,,https://fireshop.co.id/wp-content/uploads/2021/12/Hooseki_Hydrant_Box_Indoor_Type_B.webp,https://fireshop.co.id/harga/hydrant-box-type-b-hooseki/
Tohatsu Portable Fire Pump – VC72AS,Rp238.865.000,https://fireshop.co.id/wp-content/uploads/2021/12/Tohatsu-Portable-Pump-VC72AS-1.webp,https://fireshop.co.id/harga/pompa-pemadam-tohatsu-vc72as/
